date,Battery (Charging) - MW,Exports - MW,Imports - MW,Distillate - MW,Gas (Steam) - MW,Gas (CCGT) - MW,Gas (OCGT) - MW,Gas (Reciprocating) - MW,Battery (Discharging) - MW,Wind - MW,Solar (Utility) - MW,Solar (Rooftop) - MW,Wind (Curtailment) - MW,Solar (Utility) (Curtailment) - MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2025-11-01T19:20:00Z,-0.72,0,277.68,0,133,205.77,185.5,154.51,424.06,113.05,0.6,0,0,0,24.8,0,17.48,0,6.38,6.89,8.99,7.59,605.48,138.04
2025-11-01T19:25:00Z,-1.37,0,264.05,0,137,208.45,186.83,156.5,417.72,116.9,0.01,0,0,0,24.45,0,16.35,0,6.57,6.98,9.06,7.69,584.42,144.8
2025-11-01T19:30:00Z,-0.87,0,275.78,0,149,205.77,186.11,154.92,373.99,117.86,0.01,2.93,0,0,24.1,0,17.03,0,7.15,6.89,9.02,7.61,626.29,129.99
2025-11-01T19:35:00Z,-0.67,0,269.33,0,131,205.77,186.32,154.04,394.33,129.16,0.01,2.44,0,0,23.98,0,16.92,0,6.29,6.89,9.03,7.57,600.59,138.04
2025-11-01T19:40:00Z,-0.15,0,357.97,0,126,150.06,189.14,156.22,393.74,132,0.01,1.95,0,0,23.87,0,21.92,0,6.05,5.02,9.18,7.68,756.12,130.17
2025-11-01T19:45:00Z,0,0,269.77,0,107,150.06,188.7,155.61,484.75,143.29,0,1.47,0,0,23.75,0,16.21,0,5.13,5.02,9.15,7.65,538.91,138.04
2025-11-01T19:50:00Z,0,0,266.29,0,102,150.73,187.69,154.28,465.64,156.89,0,0.98,0,0,23.63,0,16.12,0,4.89,5.05,9.09,7.58,538.77,137.36
2025-11-01T19:55:00Z,0,0,325.33,0,85,150.06,187.83,154.83,408.45,170.61,0,0.49,0,0,23.52,0,19.96,0,4.08,5.02,9.1,7.61,660.19,140.14
2025-11-01T20:00:00Z,-0.31,0,347.38,0,95,150.73,187.87,155,370.68,170.04,0,0,0,0,23.4,0,20.92,0,4.56,5.05,9.1,7.62,725.28,170.44
2025-11-01T20:05:00Z,-1.95,0,372.61,0,112,190.33,186.92,155.03,262.94,179.84,0,0,0,0,23.25,0,22.6,0,5.37,6.37,9.05,7.62,859.1,129.99
2025-11-01T20:10:00Z,-0.23,0,351.15,0,96,148.05,187.89,80.83,413.7,201.41,0,0,0,0,23.1,0,21.06,0,4.61,4.96,9.1,3.97,675.23,138.04
2025-11-01T20:15:00Z,-2.28,0,313.01,0,94,150.06,187.38,103.53,405.46,213.13,0,0,0,0,22.95,0,18.9,0,4.51,5.02,9.07,5.09,609.79,129.99
2025-11-01T20:20:00Z,-1.18,0,340.18,0,76,150.06,188.09,79.73,383.94,245.95,0,0,0,0,22.8,0,20.6,0,3.65,5.02,9.11,3.92,648.74,156.85
2025-11-01T20:25:00Z,-1.16,0,404.05,0,87,149.39,187.66,128.5,244.64,243.49,0,0,0,0,22.65,0,24.44,0,4.17,5,9.09,6.31,925.71,129.99
2025-11-01T20:30:00Z,-2.44,0,379.63,0,74,150.06,188.02,78.6,336.36,245.42,0,0,0,0,22.5,0,22.85,0,3.55,5.02,9.1,3.86,771.59,145.98
2025-11-01T20:35:00Z,-1.98,0,336.53,0,87,150.06,188.75,156.53,265.11,234.24,0,0,0,0,22.28,0,20.58,0,4.17,5.02,9.14,7.69,752.6,129.99
2025-11-01T20:40:00Z,-0.08,0,347.61,0,74,150.06,190.05,81.03,354.5,241.57,0,0,0,0,22.07,0,21.31,0,3.55,5.02,9.2,3.98,695.07,138
2025-11-01T20:45:00Z,-0.52,0,329.4,0,64,150.06,190.32,111.65,346.37,251.48,0,0,0,0,21.85,0,21.03,0,3.07,5.02,9.21,5.49,670.9,142.62
2025-11-01T20:50:00Z,-1.09,0,386.39,0,79,150.06,188.7,145.48,197.28,274.33,0,0,0,0,21.63,0,24.83,0,3.79,5.02,9.13,7.15,925.4,138.04
2025-11-01T20:55:00Z,-0.57,0,404.04,0,78,150.06,189.99,104.62,210.95,303.53,0,0,0,0,21.42,0,25.81,0,3.74,5.02,9.2,5.14,928.05,157.24
2025-11-01T21:00:00Z,-6.01,0,416.56,0,93,149.39,188.83,155.6,104.85,311.09,0,0,0,0,21.2,0,26.76,0,4.46,5,9.14,7.65,1096.34,138.04
2025-11-01T21:05:00Z,-2.43,0,427.45,0,83,150.06,188.99,156.65,80.36,336.91,0,0,0,0,21.48,0,27.87,0,3.98,5.02,9.15,7.7,1138.74,104.93
2025-11-01T21:10:00Z,-0.33,0,316.08,0,63,150.06,153.52,156.07,207.28,371.26,0,0,0,0,21.77,0,21.19,0,3.02,5.02,7.27,7.67,675.51,120.03
2025-11-01T21:15:00Z,0,0,357.52,0,61,150.06,192.3,156.18,87.97,411.93,0,0,0,0,22.05,0,24.57,0,2.93,5.02,9.32,7.67,846.47,79.05
2025-11-01T21:20:00Z,-0.43,0,276.32,0,60,97.72,152.66,155.66,248.23,415.31,0,0,0,0,22.33,0,19.08,0,2.88,3.27,7.22,7.65,564.23,105.88
2025-11-01T21:25:00Z,-0.34,0,284.74,0,64,142.68,193.61,158.27,66.96,488.67,0,0,0,0,22.62,0,19.67,0,3.07,4.78,9.39,7.78,646.74,104.44
2025-11-01T21:30:00Z,0,0,200.71,0,66,114.5,156.68,157.23,134.86,549.33,0,0,0,0,22.9,0,13.22,0,3.17,3.83,7.44,7.73,434.23,126.61
2025-11-01T21:35:00Z,-0.95,0,151.28,0,63,149.39,190.89,156.41,72.71,577.7,0,0,0,0,23.03,0,10.04,0,3.02,5,9.24,7.69,396.97,103.73
2025-11-01T21:40:00Z,-0.09,0,145.43,0,62,93.02,154.51,82.46,234.99,593.1,0,0,0,0,23.17,0,9.75,0,2.98,3.11,7.32,4.05,303.82,109.23
2025-11-01T21:45:00Z,-0.37,0,210.71,0,62,148.05,194.99,82.28,71.89,594.59,0,0,0,0,23.3,0,13.9,0,2.98,4.96,9.45,4.04,449.74,124.98
2025-11-01T21:50:00Z,-2,0,251.16,0,58,149.39,192.9,80.63,49.78,578.35,0,0,0,0,23.43,0,16.6,0,2.78,5,9.35,3.96,528.42,112.14
2025-11-01T21:55:00Z,-1.24,0,219.43,0,59,149.39,193.5,80.05,81.97,565.56,0,0,0,0,23.57,0,14.74,0,2.83,5,9.38,3.93,473.89,108.43
2025-11-01T22:00:00Z,-3.22,0,201.63,0,57,149.39,192.6,79.24,56.1,610.18,0,0,0,0,23.7,0,13.53,0,2.74,5,9.33,3.89,440.47,104.44
2025-11-01T22:05:00Z,-2.51,0,209.82,0,58,102.42,153.03,80.26,55.36,689.33,0,0,0,0,23.58,0,14.01,0,2.78,3.43,7.24,3.94,406.96,104.44
2025-11-01T22:10:00Z,-1.03,0,122.55,0,58,128.59,125.58,81.27,39.96,767.57,0,0,0,0,23.47,0,8.25,0,2.78,4.31,5.79,3.99,279.76,101.44
2025-11-01T22:15:00Z,-1.63,0,213.04,0,59,89.66,80.67,80.95,64.48,731.16,0,0,0,0,23.35,0,14.33,0,2.83,3,3.42,3.98,371.1,104.44
2025-11-01T22:20:00Z,-0.69,0,211.28,0,58,105.1,80.79,79.99,52.66,726.83,0,0,0,0,23.23,0,14.32,0,2.78,3.52,3.42,3.93,376.54,102.64
2025-11-01T22:25:00Z,-1.99,0,186.89,0,62,89.66,80.73,79.42,74.22,730.15,0,0,0,0,23.12,0,12.71,0,2.98,3,3.42,3.9,336.64,103.21
2025-11-01T22:30:00Z,-4.49,0,161.95,0,57,89.66,81.15,79.13,48.63,781.95,0,0,0,0,23,0,10.98,0,2.74,3,3.44,3.89,297.15,93.11
2025-11-01T22:35:00Z,-5.13,0,137.75,0,57,90.34,81.38,79.59,48.19,812.85,0,0,0,0,22.95,0,9.39,0,2.74,3.02,3.45,3.91,263.13,99.27
2025-11-01T22:40:00Z,-3.65,0,115.03,0,57,90.34,53.48,79.48,48.35,846.74,0,0,0,0,22.9,0,7.81,0,2.74,3.02,2.27,3.91,224.14,92.64
2025-11-01T22:45:00Z,-2.05,0,92.92,0,57,90.34,41.18,81.83,48.8,873.9,0,0,0,0,22.85,0,6.31,0,2.74,3.02,1.74,4.02,194.92,85.27
2025-11-01T22:50:00Z,-4,0,76.5,0,57,60.81,41.23,79.61,49.76,914.77,0,0,0,0,22.8,0,5.16,0,2.74,2.04,1.75,3.91,166.69,73.46
2025-11-01T22:55:00Z,-3.79,0,47.87,0,57,60.81,41.24,79.41,25.79,970.6,0,0,0,0,22.75,0,3.26,0,2.74,2.04,1.75,3.9,138.72,65.7
2025-11-01T23:00:00Z,-14.32,0,44.38,0,58,61.48,41.11,80.37,52.89,960.08,0,0,0,0,22.7,0,3.04,0,2.78,2.06,1.74,3.95,136.23,57.48
2025-11-01T23:05:00Z,-5.74,-20.36,0,0,58,61.48,40.85,80.29,47.4,1025.25,0,0,0,0,22.8,0.16,0,0,2.78,2.06,1.73,3.95,96.54,49.61
2025-11-01T23:10:00Z,0,-94.1,0,0,63,60.14,17.18,81.91,79.08,1088.71,0,0,0,0,22.9,0.66,0,0,3.02,2.01,0.73,4.03,84.53,64.03
2025-11-01T23:15:00Z,-0.59,-46.74,0,0,58,60.81,0.11,80.02,5.22,1128.94,0,0,0,0,23,0.31,0,0,2.78,2.04,0.01,3.93,78.87,2.48
2025-11-01T23:20:00Z,-0.48,-91.78,0,0,59,60.81,0.11,79.96,5.33,1183.16,0,0,28.96,0,23.1,0.58,0,0,2.83,2.04,0.01,3.93,76.12,31.31
2025-11-01T23:25:00Z,-0.33,-152.34,0,0,58,60.81,0.11,79.47,12.53,1255.3,0,0,0,0,23.2,0.91,0,0,2.78,2.04,0.01,3.91,71.48,31.31
2025-11-01T23:30:00Z,-2.35,-216.5,0,0,58,60.14,0.11,80.16,36.06,1294,0,0,0,0,23.3,1.24,0,0,2.78,2.01,0.01,3.94,68.76,2.57
2025-11-01T23:35:00Z,-0.18,-214.08,0,0,62,60.81,0.11,82.19,19.47,1298.49,0,0,11.56,0,23.4,1.27,0,0,2.98,2.04,0.01,4.04,71.37,44.29
2025-11-01T23:40:00Z,-1.47,-155.42,0,0,58,60.81,0.11,17,55.6,1310.43,0,0,0,0,23.5,0.59,0,0,2.78,2.04,0.01,0.84,45.28,31.31
2025-11-01T23:45:00Z,-0.27,-236.26,0,0,60,60.81,0.1,9.75,118.95,1334.36,0,0,0,0,23.6,0.81,0,0,2.88,2.04,0.01,0.48,40.92,47.34
2025-11-01T23:50:00Z,-0.06,-194.31,0,0,59,61.48,0.11,9.17,65.57,1350.7,0,0,0,0,23.7,0.67,0,0,2.83,2.06,0.01,0.45,41.5,3.06
2025-11-01T23:55:00Z,-5.62,-95.5,0,0,59,60.81,0.11,0,5.25,1335.51,0,0,11.79,0,23.8,0.32,0,0,2.83,2.04,0.01,0,40.21,31.31
2025-11-02T00:00:00Z,-0.39,-151.08,0,0,59,60.81,0.11,0,11.16,1366.65,0,0,0,0,23.9,0.49,0,0,2.83,2.04,0.01,0,39.06,43.78
2025-11-02T00:05:00Z,-1.7,-209.64,0,0,61,61.48,0.11,0,70.34,1349.54,0,0,0,0,23.92,0.68,0,0,2.93,2.06,0.01,0,38.89,45.48
2025-11-02T00:10:00Z,-6.42,-176.07,0,0,56,60.81,0.11,0,47.81,1359.73,0,0,0,0,23.93,0.55,0,0,2.69,2.04,0.01,0,37.41,50.52
2025-11-02T00:15:00Z,-23.34,-140.45,0,0,58,60.14,0.11,0,50.4,1345.42,0,0,0,0,23.95,0.45,0,0,2.78,2.01,0.01,0,38.73,49.89
2025-11-02T00:20:00Z,-24.2,-103.24,0,0,62,60.81,0.11,0,70.03,1307.33,0,0,0,0,23.97,0.35,0,0,2.98,2.04,0.01,0,40.84,52.73
2025-11-02T00:25:00Z,-1.7,-115.76,0,0,59,60.14,0.11,0,54.98,1312.42,0,0,0,0,23.98,0.38,0,0,2.83,2.01,0.01,0,39.21,51.18
2025-11-02T00:30:00Z,-8.37,-125.15,0,0,58,60.81,0.11,0,48.29,1327.49,0,0,0,0,24,0.4,0,0,2.78,2.04,0.01,0,38.98,35.29
2025-11-02T00:35:00Z,-0.74,-107.91,0,0,58,60.81,0.11,0,7.9,1361.21,0,0,0,0,23.82,0.35,0,0,2.78,2.04,0.01,0,38.94,62.07
2025-11-02T00:40:00Z,-9.04,-195.89,0,0,57,60.81,0.11,0,4.33,1454.29,0,0,0,0,23.63,0.59,0,0,2.74,2.04,0.01,0,36.61,2.48
2025-11-02T00:45:00Z,-5.36,-160.97,0,0,60,60.81,0.11,0,12.63,1412.44,0,0,33.2,0,23.45,0.51,0,0,2.88,2.04,0.01,0,38.35,53.8
2025-11-02T00:50:00Z,0,-313.32,0,0,61,60.81,0.11,0,35.51,1536.35,0,0,0,0,23.27,0.92,0,0,2.93,2.04,0.01,0,35.21,48.81
2025-11-02T00:55:00Z,-2.99,-306.11,0,0,59,60.81,0.11,0,29.31,1531.19,0,0,0,0,23.08,0.89,0,0,2.83,2.04,0.01,0,34.88,9.1
2025-11-02T01:00:00Z,-12.94,-251.88,0,0,57,60.81,0.11,0,0.05,1534.07,0,0,0,0,22.9,0.73,0,0,2.74,2.04,0.01,0,35.03,38.18
2025-11-02T01:05:00Z,-8.73,-318.26,0,0,63,60.81,0.11,0,24,1560.87,0,0,0,0,23,0.94,0,0,3.02,2.04,0.01,0,35.8,37.01
2025-11-02T01:10:00Z,-8.68,-335.39,0,0,59,48.73,0.11,0,3.13,1618.31,0,0,0,0,23.1,0.87,0,0,2.83,1.63,0.01,0,31.21,37.37
2025-11-02T01:15:00Z,-0.47,-289.14,0,0,44,0,0.11,0,14.74,1602.09,0,0,1.27,0,23.2,0.37,0,0,2.11,0,0.01,0,15.31,29.06
2025-11-02T01:20:00Z,-10.85,-329.39,0,0,41,0,0.11,0,1.69,1666.43,0,0,0,0,23.3,0.38,0,0,1.97,0,0.01,0,13.97,30.55
2025-11-02T01:25:00Z,-9.57,-322.56,0,0,41,0,0.11,0,6.52,1650.52,0,0,0,0,23.4,0.38,0,0,1.97,0,0.01,0,14.05,28.63
2025-11-02T01:30:00Z,-5.8,-319.19,0,0,40,0,0.11,0,0.15,1641.82,0,0,0,0,23.5,0.37,0,0,1.92,0,0.01,0,13.8,26.02
2025-11-02T01:35:00Z,-5.18,-369.7,0,0,40,0,0.11,0,0.64,1694.97,0,0,0,0,23.53,0.41,0,0,1.92,0,0.01,0,13.37,26.44
2025-11-02T01:40:00Z,-2.18,-430.47,0,0,40,0,0.11,0,3.73,1742.46,0,0,0,0,23.57,0.46,0,0,1.92,0,0.01,0,12.96,26.5
2025-11-02T01:45:00Z,-4.67,-429.6,0,0,40,0,0.11,0,0.07,1751.98,0,0,1.32,0,23.6,0.46,0,0,1.92,0,0.01,0,12.94,-4.15
2025-11-02T01:50:00Z,-7.58,-400.8,0,0,40,0,0.11,0,4.58,1713.57,0,0,37.76,0,23.63,0.44,0,0,1.92,0,0.01,0,13.22,-5.22
2025-11-02T01:55:00Z,-2.03,-435.19,0,0,42,0,0.11,0,5.78,1748.66,0,0,20.7,0,23.67,0.49,0,0,2.02,0,0.01,0,13.53,26.27
2025-11-02T02:00:00Z,-8.79,-451.3,0,0,40,0,0.11,0,5.91,1747.19,0,0,2.27,0,23.7,0.48,0,0,1.92,0,0.01,0,12.97,-4.32
2025-11-02T02:05:00Z,-11.6,-437.51,0,0,42,0,0.11,0,10.27,1732.15,0,0,30.05,0,23.78,0.5,0,0,2.02,0,0.01,0,13.72,24.2
2025-11-02T02:10:00Z,-0.43,-462.39,0,0,43,0,0.11,0,22.56,1737.66,0,0,0,0,23.87,0.53,0,0,2.06,0,0.01,0,13.78,42.75
2025-11-02T02:15:00Z,-0.91,-445.9,0,0,42,0,0.11,0,25.45,1695.8,0,0,0,0,23.95,0.51,0,0,2.02,0,0.01,0,13.77,38.97
2025-11-02T02:20:00Z,-11.79,-396.24,0,0,43,0,0.11,0,15.79,1660.25,0,0,0,0,24.03,0.48,0,0,2.06,0,0.01,0,14.58,37.29
2025-11-02T02:25:00Z,-1.6,-381.29,0,0,42,0,0.11,0,15.92,1637.78,0,0,0,0,24.12,0.45,0,0,2.02,0,0.01,0,14.33,58.64
2025-11-02T02:30:00Z,-7.21,-355.49,0,0,40,0,0.11,0,0.39,1619.57,0,0,0,0,24.2,0.41,0,0,1.92,0,0.01,0,14,48.74
2025-11-02T02:35:00Z,-20.61,-358.83,0,0,41,0,0.11,0,9.5,1610.45,0,0,0,0,24.27,0.43,0,0,1.97,0,0.01,0,14.49,48.03
2025-11-02T02:40:00Z,-14.83,-333.02,0,0,41,0,0.11,0,7.4,1575,0,0,0,0,24.33,0.41,0,0,1.97,0,0.01,0,14.76,47.79
2025-11-02T02:45:00Z,-11.23,-321.18,0,0,41,0,0.11,0,6.86,1563.68,0,0,2.92,0,24.4,0.39,0,0,1.97,0,0.01,0,14.83,56
2025-11-02T02:50:00Z,-7.64,-314.52,0,0,42,0,0.11,0,8.03,1547.06,0,0,2.24,0,24.47,0.4,0,0,2.02,0,0.01,0,15.28,62
2025-11-02T02:55:00Z,-21.54,-263.26,0,0,41,0,0.11,0,4.73,1504.88,0,0,2.24,0,24.53,0.34,0,0,1.97,0,0.01,0,15.54,61.82
2025-11-02T03:00:00Z,-17.18,-254.15,0,0,42,0,0.11,0,16.04,1475.91,0,0,2.24,0,24.6,0.33,0,0,2.02,0,0.01,0,16.05,64.43
2025-11-02T03:05:00Z,-18.75,-209.24,0,0,41,0,0.11,0,18.58,1422.92,0,0,2.24,0,24.52,0.34,0,0,1.97,0,0.01,0,15.59,64.42
2025-11-02T03:10:00Z,-0.98,-208.1,0,0,43,0,0.11,0,23.11,1393.92,0,0,0,0,24.43,0.29,0,0,2.06,0,0.01,0,17.03,67.06
2025-11-02T03:15:00Z,-13.11,-165.7,0,0,40,0,0.11,0,5.05,1373.09,0,0,0,0,24.35,0.23,0,0,1.92,0,0.01,0,16.47,66.15
2025-11-02T03:20:00Z,-12.94,-199.12,0,0,40,0,0.11,0,0.11,1406.08,0,0,0,0,24.27,0.27,0,0,1.92,0,0.01,0,16.15,64.71
2025-11-02T03:25:00Z,-1.76,-181.18,0,0,42,0,0.11,0,15.65,1357.65,0,0,0,0,24.18,0.26,0,0,2.02,0,0.01,0,17.17,66.58
2025-11-02T03:30:00Z,-8.41,-125.53,0,0,41,0,0.1,0,7.61,1314.18,0,0,0,0,24.1,0.18,0,0,1.97,0,0.01,0,17.5,70.56
2025-11-02T03:35:00Z,-35.06,-48.29,0,0,40,0,0.11,0,0.14,1261.54,0,0,0,0,24.13,0.07,0,0,1.92,0,0.01,0,18.27,68.89
2025-11-02T03:40:00Z,-31.24,-51.03,0,0,43,0,0.11,0,6.25,1251.66,0,0,0,0,24.17,0.08,0,0,2.06,0,0.01,0,19.58,81.95
2025-11-02T03:45:00Z,-15.92,-64.87,0,0,39,0,0.11,0,0.1,1267.1,0,0,0,0,24.2,0.09,0,0,1.87,0,0.01,0,17.48,68.28
2025-11-02T03:50:00Z,-9.23,-122.3,0,0,40,0,0.11,0,0.23,1305.86,0,0,0,0,24.23,0.17,0,0,1.92,0,0.01,0,17.3,65.97
2025-11-02T03:55:00Z,-2.73,-130.33,0,0,40,0,0.11,0,0.27,1321.02,0,0,0,0,24.27,0.18,0,0,1.92,0,0.01,0,17.02,66.31
2025-11-02T04:00:00Z,-6.78,-122.89,0,0,40,0,0.11,0,0.33,1308.85,0,0,0,0,24.3,0.18,0,0,1.92,0,0.01,0,17.23,65.4
2025-11-02T04:05:00Z,-1.97,-98.29,0,0,41,0,0.11,0,7.32,1274.49,0,0,0,0,24.23,0.14,0,0,1.97,0,0.01,0,18.01,67.22
2025-11-02T04:10:00Z,-7.09,-122.02,0,0,39,0,0.11,0,0.59,1310.49,0,0,0,0,24.17,0.17,0,0,1.87,0,0.01,0,16.82,66.6
2025-11-02T04:15:00Z,-24.32,-145.69,0,0,41,0,0.11,0,2.93,1345.43,0,0,0.42,0,24.1,0.2,0,0,1.97,0,0.01,0,17.45,65.99
2025-11-02T04:20:00Z,-16.09,-127.44,0,0,41,0,0.11,0,0,1315.65,0,0,2.25,0,24.03,0.18,0,0,1.97,0,0.01,0,17.76,63.54
2025-11-02T04:25:00Z,-10.17,-116.23,0,0,40,0,0.11,0,0.2,1308.05,0,0,0,0,23.97,0.16,0,0,1.92,0,0.01,0,17.33,53.59
2025-11-02T04:30:00Z,-18.66,-172.86,0,0,40,0,0.11,0,0.25,1377.32,0,0,0,0,23.9,0.23,0,0,1.92,0,0.01,0,16.56,44.91
2025-11-02T04:35:00Z,-7.93,-203.69,0,0,39,0,0.11,0,0.35,1402.49,0,0,0,0,23.93,0.27,0,0,1.87,0,0.01,0,15.69,44.28
2025-11-02T04:40:00Z,-9.31,-223.2,0,0,41,0,0.11,0,0.03,1417.92,0,0,0,0,23.97,0.3,0,0,1.97,0,0.01,0,16.37,8.54
2025-11-02T04:45:00Z,-8.49,-225.66,0,0,40,0,0.11,0,0.32,1439.42,0,0,0,0,24,0.3,0,0,1.92,0,0.01,0,15.68,8.66
2025-11-02T04:50:00Z,-20.75,-237.04,0,0,40,0,0.11,0,0.09,1476.04,0,0,0,0,24.03,0.31,0,0,1.92,0,0.01,0,15.41,23.56
2025-11-02T04:55:00Z,-15.43,-261.82,0,0,40,0,0.11,0,0.51,1506.12,0,0,0,0,24.07,0.34,0,0,1.92,0,0.01,0,15,23.2
2025-11-02T05:00:00Z,-40.65,-291.16,0,0,39,0,0.11,0,0,1561.27,0,0,0,0,24.1,0.37,0,0,1.87,0,0.01,0,14.31,0
2025-11-02T05:05:00Z,-28.89,-389.08,0,0,39,0,0.11,0,0,1644.43,0,0,0,0,24.15,0.48,0,0,1.87,0,0.01,0,13.29,0
2025-11-02T05:10:00Z,-17.83,-481.38,0,0,40,0,0.11,0,0.11,1721.58,0,0,0,0,24.2,0.58,0,0,1.92,0,0.01,0,12.78,0
2025-11-02T05:15:00Z,-6.67,-495,0,0,40,0,0.11,0,0.13,1732.47,0,0,13.74,0,24.25,0.6,0,0,1.92,0,0.01,0,12.55,0
2025-11-02T05:20:00Z,-15.35,-516.81,0,0,40,0,0.11,0,0,1763.56,0,0,12.24,0,24.3,0.62,0,0,1.92,0,0.01,0,12.36,0
2025-11-02T05:25:00Z,-11.51,-519.55,0,0,40,0,0.11,0,0,1774.41,0,0,15.64,0,24.35,0.62,0,0,1.92,0,0.01,0,12.23,-5.75
2025-11-02T05:30:00Z,-21.17,-514.46,0,0,40,0,0.11,0,0,1776.64,0,0,12.2,0,24.4,0.55,0,0,1.92,0,0.01,0,12.93,-5.75
2025-11-02T05:35:00Z,-6.04,-570.77,0,0,40,0,0.11,0,0.11,1815.57,0,0.25,21.5,0,24.27,0.59,0,0,1.92,0,0.01,0,12.51,-8.21
2025-11-02T05:40:00Z,-8.39,-547.66,0,0,41,0,0.11,0,5.67,1765.39,0.04,0.49,40.54,0,24.13,0.6,0,0,1.97,0,0.01,0,13.16,-10.16
2025-11-02T05:45:00Z,-5.31,-490.15,0,0,40,0,0.11,0,0.94,1718.63,0.01,0.74,92,0,24,0.54,0,0,1.92,0,0.01,0,13.18,-7.93
2025-11-02T05:50:00Z,-18.86,-559.77,0,0,40,0,0.11,0,0.13,1804.69,0.04,0.98,18.05,0,23.87,0.58,0,0,1.92,0,0.01,0,12.71,-10
2025-11-02T05:55:00Z,-8.61,-458.39,0,0,40,0,0.11,0,1.74,1695.72,0.13,1.23,152.1,0,23.73,0.51,0,0,1.92,0,0.01,0,13.38,-11.34
2025-11-02T06:00:00Z,-1.2,-362.45,0,0,40,0,0.11,0,6.76,1578.26,0.83,1.47,249.93,0,23.6,0.43,0,0,1.92,0,0.01,0,14.21,-12.07
2025-11-02T06:05:00Z,-5.05,-205.41,0,0,40,0,0.11,0,0.44,1415.01,3.35,8.56,428.27,0,23.72,0.27,0,0,1.92,0,0.01,0,15.8,-12.74
2025-11-02T06:10:00Z,-13.68,-114.47,0,0,44,0,0.11,0,35.89,1259.2,7.28,15.64,556.03,0.89,23.83,0.18,0,0,2.11,0,0.01,0,18.85,-12.66
2025-11-02T06:15:00Z,-18.84,-104.53,0,0,40,0,0.11,0,0.1,1280.86,12.65,22.73,566.98,1.9,23.95,0.15,0,0,1.92,0,0.01,0,17.28,-19.98
2025-11-02T06:20:00Z,-4.62,-46.37,0,0,42,0,0.11,0,14.1,1190.69,15.8,29.81,699.28,6.31,24.07,0.07,0,0,2.02,0,0.01,0,18.83,-19.7
2025-11-02T06:25:00Z,-6.52,-93.82,0,0,40,0,0.11,0,6.12,1239.65,25.67,36.9,629.21,4.77,24.18,0.14,0,0,1.92,0,0.01,0,17.19,-20
2025-11-02T06:30:00Z,-12.81,-6.29,0,0,40,0,0.11,0,10.06,1134.07,25.11,43.98,799.81,6.05,24.3,0.01,0,0,1.92,0,0.01,0,18.63,-20
2025-11-02T06:35:00Z,-4.98,0,52.38,0,42,0,0.11,0,15.08,1060.23,15.26,69.21,920.37,10.53,24.47,0,2.46,0,2.02,0,0.01,0,46.99,-19.98
2025-11-02T06:40:00Z,-3.27,0,57.34,0,40,0,0.11,0,2.24,1068.07,12.97,94.43,915.08,10.08,24.63,0,2.63,0,1.92,0,0.01,0,47.3,-20
2025-11-02T06:45:00Z,-5.77,0,148.85,0,44,0,0.11,0,4.84,932.61,21.6,119.66,1024.48,6.04,24.8,0,6.83,0,2.11,0,0.01,0,110.88,-20
2025-11-02T06:50:00Z,-7.89,0,73.93,0,40,0,0.11,0,0.1,1000.07,24.51,144.89,1006.55,17.97,24.97,0,3.57,0,1.92,0,0.01,0,58.45,-20
2025-11-02T06:55:00Z,-16.96,0,78.44,0,40,0,0.11,0,0.05,973.39,34.7,170.11,988.73,24.8,25.13,0,3.81,0,1.92,0,0.01,0,61.27,-25.51
2025-11-02T07:00:00Z,-50.13,0,206.89,0,40,0,0.11,0,0.32,849.05,35.53,195.34,1065.96,28.19,25.3,0,10.01,0,1.92,0,0.01,0,165.86,-21.4
2025-11-02T07:05:00Z,-4.37,0,137.01,0,44,0,0.11,0,25.38,847.17,27.41,229.9,1077.07,70.08,25.68,0,6.91,0,2.11,0,0.01,0,104.95,-19.98
2025-11-02T07:10:00Z,-11.82,0,0.51,0,40,0,0.11,0,0.27,979.1,31.18,264.47,974.3,82.84,26.07,0,0.03,0,1.92,0,0.01,0,17.98,-20
2025-11-02T07:15:00Z,-0.14,0,35.56,0,43,0,0.11,0,9.48,895.16,43.88,299.04,1091.62,95.21,26.45,0,1.84,0,2.06,0,0.01,0,37.41,-21
2025-11-02T07:20:00Z,-3.71,0,111.81,0,42,0,0.11,0,4.84,816.97,51.11,333.61,1203.27,107.98,26.83,0,5.92,0,2.02,0,0.01,0,84.13,-21.21
2025-11-02T07:25:00Z,-6.55,0,118.75,0,42,0,0.11,0,3.58,761.87,78.73,368.17,1216.05,130.89,27.22,0,6.5,0,2.02,0,0.01,0,90.59,-21.77
2025-11-02T07:30:00Z,-49.63,0,142.42,0,43,0,0.11,0,8.88,755.84,53.57,402.74,1214.12,148.74,27.6,0,8.02,0,2.06,0,0.01,0,112.91,-41.97
2025-11-02T07:35:00Z,-174.55,0,247.29,0,41,0,0.11,0,0.03,765.94,48.88,433.02,1151.67,155.75,27.73,0,14.22,0,1.97,0,0.01,0,224.11,-50.43
